Lot Area,Neighborhood,Overall Qual,Overall Cond,Year Built,Year Remod,Mas Vnr Area,Exter Qual,Total Bsmt SF,1st Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Garage Finish,Garage Cars,Garage Area,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
31770,NAmes,6,5,1960,1960,112,TA,1080,1656,1656,1,1,3,1,TA,7,Typ,Fin,2,528,5,2010,WD ,Normal,215000
11622,NAmes,5,6,1961,1961,0,TA,882,896,896,0,1,2,1,TA,5,Typ,Unf,1,730,6,2010,WD ,Normal,105000
14267,NAmes,6,6,1958,1958,108,TA,1329,1329,1329,0,1,3,1,Gd,6,Typ,Unf,1,312,6,2010,WD ,Normal,172000
11160,NAmes,7,5,1968,1968,0,Gd,2110,2110,2110,1,2,3,1,Ex,8,Typ,Fin,2,522,4,2010,WD ,Normal,244000
13830,Gilbert,5,5,1997,1998,0,TA,928,928,1629,0,2,3,1,TA,6,Typ,Fin,2,482,3,2010,WD ,Normal,189900
9978,Gilbert,6,6,1998,1998,20,TA,926,926,1604,0,2,3,1,Gd,7,Typ,Fin,2,470,6,2010,WD ,Normal,195500
4920,StoneBr,8,5,2001,2001,0,Gd,1338,1338,1338,1,2,2,1,Gd,6,Typ,Fin,2,582,4,2010,WD ,Normal,213500
5005,StoneBr,8,5,1992,1992,0,Gd,1280,1280,1280,0,2,2,1,Gd,5,Typ,RFn,2,506,1,2010,WD ,Normal,191500
5389,StoneBr,8,5,1995,1996,0,Gd,1595,1616,1616,1,2,2,1,Gd,5,Typ,RFn,2,608,3,2010,WD ,Normal,236500
7500,Gilbert,7,5,1999,1999,0,TA,994,1028,1804,0,2,3,1,Gd,7,Typ,Fin,2,442,6,2010,WD ,Normal,189000
10000,Gilbert,6,5,1993,1994,0,TA,763,763,1655,0,2,3,1,TA,7,Typ,Fin,2,440,4,2010,WD ,Normal,175900
7980,Gilbert,6,7,1992,2007,0,TA,1168,1187,1187,1,2,3,1,TA,6,Typ,Fin,2,420,3,2010,WD ,Normal,185000
